id,employee_id,role_id
1,1,1
2,2,2
3,3,3
4,4,4
5,4,5
6,5,6
7,6,7
8,7,7
9,8,7
10,9,8
11,10,8
12,11,8
13,12,9
14,13,10
15,14,11
16,15,12
17,16,13
18,17,14
19,18,15
20,19,16
21,20,17
22,21,18
23,22,19
24,23,19
25,24,20
26,25,25
27,26,21
28,26,5
29,27,14
30,27,5
31,27,22
32,28,23
33,29,26
34,30,27
35,31,28
36,32,27
37,32,29
38,33,27
39,34,27
40,35,30
41,35,27
42,36,31
43,36,29
44,36,27
45,37,30
46,37,27
47,38,27
48,38,29
49,39,27
50,39,30
51,40,27
52,41,32
53,42,33
54,43,33
55,44,15
56,45,34
57,46,30
58,46,15
59,47,32
60,47,30
61,47,15
62,48,34
63,49,34
64,50,34
65,51,32
66,51,35
67,51,30
68,52,34
69,53,34
70,54,34
71,55,35
72,55,36
73,56,36
74,56,32
75,57,36
76,57,15
77,58,36
78,58,15
79,59,36
80,59,15
81,60,26
82,61,24
83,62,27
84,63,30
85,63,27
86,64,13
87,65,27
88,66,34
89,67,34
90,68,34
91,69,13
92,70,27
93,71,27
94,72,13
95,73,34
96,74,13
97,75,26
