id,role_id,competency_id,proficiency_required
1,4,1,3
2,4,2,3
3,4,16,3
4,4,17,4
5,4,18,4
6,4,19,4
7,4,20,3
8,4,21,3
9,4,22,2
10,4,34,3
11,5,1,2
12,5,2,2
13,5,4,2
14,5,19,3
15,5,21,3
16,5,26,2
17,5,27,3
18,5,30,3
19,5,31,3
20,5,32,3
21,5,33,3
22,5,34,4
23,6,2,2
24,6,4,2
25,6,18,2
26,7,1,2
27,7,2,2
28,7,4,2
29,7,18,2
30,8,1,2
31,8,2,2
32,8,4,2
33,8,18,2
34,9,1,2
35,9,2,2
36,9,4,2
37,9,18,2
38,10,1,2
39,10,2,2
40,10,4,2
41,10,18,2
42,11,1,2
43,11,2,2
44,11,4,2
45,11,18,2
46,12,1,2
47,12,2,2
48,12,4,2
49,12,18,2
50,13,1,2
51,13,2,2
52,13,4,2
53,13,18,2
54,14,1,2
55,14,2,2
56,14,4,2
57,14,18,2
58,15,1,2
59,15,2,2
60,15,4,2
61,15,18,2
62,16,1,2
63,16,2,2
64,16,4,2
65,16,18,2
66,17,1,2
67,17,2,2
68,17,4,2
69,17,18,2
70,18,1,2
71,18,2,2
72,18,4,2
73,18,18,2
74,19,1,2
75,19,2,2
76,19,4,2
77,19,18,2
78,20,1,2
79,20,2,2
80,20,4,2
81,20,18,2
82,21,1,2
83,21,2,2
84,21,4,2
85,21,18,2
86,22,1,2
87,22,2,2
88,22,4,2
89,22,18,2
90,23,1,2
91,23,2,2
92,23,4,2
93,23,18,2
94,24,1,2
95,24,2,2
96,24,4,2
97,24,18,2
98,25,1,2
99,25,2,2
100,25,4,2
101,25,18,2
102,26,1,2
103,26,2,2
104,26,4,2
105,26,18,2
106,27,1,2
107,27,2,2
108,27,4,2
109,27,18,2
110,28,1,2
111,28,2,2
112,28,4,2
113,28,18,2
114,29,1,2
115,29,2,2
116,29,4,2
117,29,18,2
118,30,1,2
119,30,2,2
120,30,4,2
121,30,18,2
122,31,1,2
123,31,2,2
124,31,4,2
125,31,18,2
126,32,1,2
127,32,2,2
128,32,4,2
129,32,18,2
130,33,1,2
131,33,2,2
132,33,4,2
133,33,18,2
134,34,1,2
135,34,2,2
136,34,4,2
137,34,18,2
138,35,1,2
139,35,2,2
140,35,4,2
141,35,18,2
142,36,1,2
143,36,2,2
144,36,4,2
145,36,18,2
