role_id,role_name,min_education,min_experience
1,CEO,,
2,Director, Sales & NPD,,
3,Director, Operations,,
4,Plant Head,,
5,Internal Auditor,,
6,National Sales Manager,,
7,Regional Sales Manager,,
8,Area Sales Manager,,
9,Store Incharge,,
10,Purchase Engineer,,
11,NPD Engineer (Mechanical),,
12,Production Manager (Electronics),,
13,Quality Executive,,
14,Asst Manager Quality,,
15,Manager, Despatch,,
16,Accounts Manager,,
17,Accounts Executive,,
18,Production Manager (Mechanical),,
19,NPD Manager (Mechanical),,
20,HR Manager,,
21,Quality Manager,,
22,Management Representative,,
23,Admin Manager,,
24,Purchase Manager,,
